1,0,1
2,0,1
3,0,1
5,0,1
133,0,1
1208,0,1
1245,0,1
1942,0,1
3756,0,5.6713
38,1,1
1501,1,1
8330,1,1
8358,1,1
7,2,1
8,2,1
29,2,1
69,2,1
118,2,1
182,2,1
202,2,1
239,2,1
248,2,1
3760,2,10.595
5485,2,1
7791,2,2.0205
4,3,1
20,3,1
24,3,1
28,3,1
65,3,1
493,3,2.0722
556,3,1
564,3,1
1026,3,1
3065,3,1
3954,3,15.487
9987,3,1.349
6,4,1
9,4,1
12,4,1
18,4,1
75,4,1
1065,4,2.9901
5150,4,1
64,5,1
96,5,1
127,5,1
196,5,1
226,5,1
628,5,1
724,5,1
8888,5,1
10,6,1
37,6,1
304,6,1
327,6,1
937,6,1
3140,6,1
3792,6,1
5881,6,1
6332,6,3.0662
8674,6,2.2722
13,7,1
19,7,1
21,7,1
52,7,1
76,7,1
187,7,1
233,7,1
271,7,1
580,7,1
1403,7,1
1496,7,1
5284,7,1
11,8,1
23,8,1
58,8,1
108,8,1
117,8,1
4283,8,23.719
4887,8,5.3818
6909,8,1.3844
7207,8,1
9186,8,2.0611
15,9,1
16,9,1
25,9,1
80,9,1
138,9,1
1799,9,1
2712,9,1.2793
3293,9,19.055
8537,9,1
17,10,1
35,10,1
49,10,1
53,10,1
73,10,1
552,10,1
2110,10,1
2473,10,1
8564,10,4.8957
1235,11,1
2798,11,1
2948,11,1.2473
5381,11,1
5477,11,1
5596,11,1
9379,11,1.9772
32,12,1
41,12,1
60,12,1
84,12,1
104,12,1
2035,12,1
2680,12,68.721
2714,12,1
3469,12,1.6361
6125,12,1.0916
14,13,1
31,13,1
50,13,1
112,13,1
784,13,1
1143,13,1
1355,13,1
4627,13,1
61,14,1.5039
266,14,1
395,14,1
1213,14,1
2479,14,1
3013,14,1
5838,14,1
6369,14,1
8661,14,1
143,15,1
417,15,1
1239,15,1.0422
1634,15,1
3073,15,2.6194
7657,15,1.0443
9308,15,1
46,16,1
81,16,1
88,16,1
436,16,1
463,16,1
696,16,1
769,16,1
972,16,1
6233,16,1.38
62,17,1
159,17,1
451,17,1
895,17,1
6624,17,1.3731
7077,17,1
26,18,1
67,18,1
220,18,1
503,18,1
614,18,1
1216,18,1
2010,18,1
6209,18,1.0536
6748,18,1
6932,18,4.2872
8749,18,4.3382
45,19,1
5599,19,1.8919
6963,19,1
9666,19,1.5542
9989,19,1
22,20,1
82,20,1
124,20,1
131,20,1
132,20,1
346,20,1
1955,20,1
9687,20,3.4794
34,21,1
103,21,1
199,21,1
476,21,1
949,21,1
2607,21,1
61,22,1
147,22,1
251,22,1
1716,22,1
2229,22,3.2973
7616,22,2.8098
8362,22,1.3927
36,23,1
63,23,1
106,23,1
181,23,1
225,23,1
238,23,1
568,23,1
2253,23,1
3758,23,1
5844,23,1
6368,23,1.9714
27,24,1
176,24,1
715,24,1
965,24,1
1761,24,1
8026,24,3.0781
9653,24,9.4651
33,25,1
40,25,1
115,25,1
429,25,1
678,25,1
900,25,1
1083,25,1
3062,25,1
3878,25,1.4024
6893,25,1.1609
8060,25,1.5367
83,26,1
111,26,1
236,26,1
310,26,1
566,26,1
1145,26,1
2394,26,1
2412,26,1.5614
3652,26,1
6023,26,1.2071
6304,26,2.5799
6736,26,2.6477
7098,26,2.4176
7768,26,1.9612
8712,26,1.638
9971,26,1
74,27,1
90,27,1
191,27,1
244,27,1
1099,27,1
1426,27,1
5919,27,1
8531,27,1.3264
30,28,1
154,28,1
817,28,3.6045
1027,28,1
1045,28,1
1264,28,1
5435,28,1.0427
6684,28,11.839
8251,28,2.4889
8715,28,3.4769
85,29,1
426,29,1
760,29,1
5488,29,1.0132
6303,29,1
6461,29,1
198,30,1
406,30,1
803,30,1
1049,30,3.7814
7573,30,9.6666
146,31,1
255,31,1
1020,31,1
1197,31,1
1724,31,1
2146,31,1
3031,31,1.3087
43,32,1
170,32,1
644,32,1
2652,32,1
3941,32,1
9009,32,1
86,33,1
973,33,1.5488
3422,33,1
5357,33,2.1982
66,34,1
201,34,1
428,34,1
1006,34,1
1082,34,1
1370,34,1
3128,34,4.7528
190,35,1
334,35,1
480,35,1
700,35,1
1435,35,1
1502,35,1
3718,35,1
4009,35,1.394
4163,35,1
4754,35,19.368
7143,35,1.0761
9879,35,5.2734
39,36,1
116,36,1
1211,36,1
2788,36,2.8112
7154,36,2.3809
918,37,1.5463
1889,37,1
3181,37,1
4201,37,1.7288
4838,37,1
5071,37,1
5501,37,10.285
9325,37,14.964
373,38,1
4001,38,1.3121
4859,38,3.4376
5310,38,3.2542
5635,38,1
7652,38,3.3181
7738,38,1.0561
42,39,1
54,39,1
315,39,1
1686,39,4.3084
2064,39,1
2066,39,1
2469,39,1
2677,39,3.9123
3205,39,1.5863
7048,39,2.3526
68,40,1
99,40,1
575,40,1
631,40,1
1652,40,1
2889,40,4.0256
5561,40,2.3365
44,41,1
57,41,1
102,41,1
179,41,1.3029
411,41,1
594,41,1
796,41,1.5886
3758,41,4.2785
4505,41,1
219,42,1
919,42,1
1171,42,1
6945,42,3.703
47,43,1
72,43,1
139,43,1
249,43,1
385,43,1
867,43,1.8035
4105,43,2.42
6015,43,1
6557,43,1
56,44,1
658,44,1
755,44,2.0657
841,44,1
843,44,4.1604
1118,44,1
3609,44,1
7413,44,1
59,45,1
324,45,1
577,45,1
664,45,1
966,45,1
3603,45,3.4909
4974,45,1
6132,45,293.35
9068,45,2.3738
9724,45,5.7877
48,46,1
720,46,1
1742,46,1
3582,46,1
3697,46,1
3951,46,1.5641
5630,46,1.5908
8914,46,1
9711,46,16.37
70,47,1
71,47,1
156,47,1
194,47,1
991,47,1
4966,47,5.091
5317,47,1
7405,47,5.0513
51,48,1
78,48,1
97,48,1
312,48,1
729,48,1
1409,48,1
2339,48,1
2693,48,1
4640,48,4.1081
8164,48,1
8207,48,3.1204
93,49,1
407,49,1
804,49,1
950,49,1
1340,49,1
1790,49,1.1801
2396,49,1
3632,49,1
6515,49,1.7298
148,50,1
171,50,1
3913,50,1
5934,50,1
7866,50,1.0743
9436,50,1.9646
256,51,1
1138,51,1
1151,51,1
4452,51,35.129
4737,51,1.702
5372,51,1
92,52,1
292,52,1
474,52,1
670,52,1
987,52,1
1295,52,1
4719,52,1
5206,52,7.8441
7113,52,1
7266,52,1
55,53,1
87,53,1
548,53,1
2736,53,1
5186,53,1.0949
5371,53,1
9886,53,1.0547
382,54,1
419,54,1
653,54,1
1256,54,1
1537,54,12.359
2799,54,1
4803,54,2.6223
7961,54,2.46
9965,54,3.7415
129,55,1
140,55,1
195,55,1
560,55,1
1092,55,1
1254,55,1
4031,55,6.6207
5192,55,1
74,56,2.2113
252,56,1
317,56,1
1701,56,1
3272,56,1
5980,56,1
229,57,1
149,58,1
163,58,1
208,58,1
1476,58,1
5608,58,1
6604,58,1
7310,58,3.495
3720,59,1
3741,59,1.017
4283,59,1
4744,59,1
5846,59,1
8591,59,1.0787
9274,59,3.5708
824,60,1
3577,60,1
5462,60,1
257,61,1
285,61,1
1756,61,1
2145,61,1.0454
5325,61,1
6186,61,1
8579,61,2.7734
98,62,1
110,62,1
136,62,1
399,62,1
2626,62,1
3768,62,4.9617
5721,62,5.5548
6710,62,16.561
9317,62,1.1593
282,63,1
2668,63,1.2478
7435,63,3.2925
141,64,1
189,64,1
247,64,1
3325,64,1
3692,64,1
5912,64,1
6154,64,1
7680,65,2.6753
8503,65,1.2098
105,66,1
403,66,1
1169,66,1
4213,66,1
5617,66,1
7426,66,1
155,67,1
689,67,1
820,67,1
1448,67,1
5338,67,1
7316,67,1.0481
8419,67,1
8566,67,2.6465
79,68,1
173,68,2.0471
214,68,1
305,68,1
388,68,1
2173,68,1.4413
5545,68,2.7116
5678,68,1.1023
6621,68,1.0407
7692,68,1.0545
144,69,1
160,69,1
253,69,1
288,69,1
391,69,1
431,69,1
